"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Aultmore 12yo","8.39","0.39","19","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Eight 8yo","8.39","0.49","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Penderyn Myth","8.38","0.29","6","$$$","SingleMalt-like","GH","G","Wales","Malt"
"Wemyss Malts The Hive","8.38","0.22","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Strathmill 12yo","8.37","0.28","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 25yo","8.37","0.69","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu Distiller's Reserve","8.35","0.18","5","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Hazelburn 8yo (Springbank)","8.35","0.40","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki Harmony","8.35","0.48","23","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Tomatin Cask Strength","8.35","0.48","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan Valinch","8.34","0.64","15","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hakushu NAS","8.33","0.36","5","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.33","0.53","14","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Glenglassaugh Octaves Classic","8.32","0.30","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.32","0.28","15","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Mackmyra Special 02","8.31","0.74","3","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Amrut Indian Single Malt","8.30","0.85","18","$$$","SingleMalt-like","GH","G","India","Malt"
"Glen Grant 12yo","8.29","0.49","11","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Scotia 14yo","8.29","0.16","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Deveron 10yo","8.28","0.75","3","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glengoyne 10yo","8.28","0.34","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mannochmore 12yo (F&F)","8.28","0.16","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tamdhu 10yo","8.28","0.6","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach 20yo","8.27","0.69","12","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay's Shackleton Blended Malt","8.27","0.39","8","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomintoul 16yo","8.27","0.41","19","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wolfburn (NAS)","8.27","0.39","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Box (High Coast) Quercus I Robur","8.26","0.43","3","$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Glenfiddich 1963 Original Malt","8.26","0.44","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highland Park Svein","8.26","0.43","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt Lochranza Reserve","8.25","0.22","6","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bladnoch Vintage 1992-2007 (Signatory)","8.25","0.47","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glendalough 7yo Single Malt","8.25","0.30","8","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Hibiki Harmony Master's Select","8.25","0.67","7","$$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Tullibardine Vintage 1993","8.25","0.45","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo","8.24","0.49","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"St George's Chapter 6 (unpeated)","8.24","0.47","10","$$$","SingleMalt-like","GH","G","England","Malt"
"Glen Breton Ice 12yo","8.23","0.26","3","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Teerenpeli 10yo","8.23","0.43","6","$$$$$","SingleMalt-like","GH","H","Finland","Malt"
"White Oak Akashi 5yo","8.23","0.59","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Bladnoch 1993-2009 (G&M)","8.22","0.21","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Ice 10yo","8.22","0.59","8","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glenkinchie 12yo","8.21","0.26","21","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highland Park Harald","8.21","0.47","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Shelter Point Classic Single Cask (KWM) Single Malt Whisky","8.21","0.44","3","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glenrothes Alba Reserve","8.20","0.54","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan Virgin Oak","8.18","0.57","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenlossie 10yo (F&F)","8.18","0.33","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Shelter Point Artisanal Single Malt Whisky","8.18","0.51","10","$$$","SingleMalt-like","GH","G","Canada","Malt"
"Stronachie 12yo","8.18","0.36","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine Sovereign","8.18","0.28","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.17","0.47","19","$$","SingleMalt-like","GH","H","Ireland","Malt"
"Balblair 12yo","8.16","0.18","4","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bushmills 10yo Single Malt","8.16","0.48","24","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glenrothes Bourbon Cask Reserve","8.16","0.15","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan Gold","8.15","0.31","20","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Gold & Gold","8.15","0.31","8","$$$","SingleMalt-like","GH","G","Japan","Malt"
"The Quiet Man 8yo Single Malt","8.15","0.54","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Glenglassaugh Evolution","8.14","0.33","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Deanston Virgin Oak","8.13","0.42","17","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Cardhu Amber Rock","8.12","0.38","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Knappogue Castle Vintage","8.12","0.81","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Mackmyra Midnattssol","8.11","0.71","5","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Tomatin Legacy","8.1","0.43","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tormore 14yo","8.1","0.4","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 12yo","8.09","0.25","32","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenturret 10yo","8.07","0.51","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Spey 12yo (F&F)","8.06","0.44","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Pig's Nose 5yo Blended Malt","8.06","0.35","6","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyburn 10yo","8.06","0.32","23","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Cardhu 12yo","8.05","0.48","21","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray 12yo","8.03","0.30","14","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Lohin McKinnon Single Malt","8.03","0.35","9","$$$","SingleMalt-like","GH","H","Canada","Malt"
"Tullibardine Aged Oak Edition","8.03","0.42","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cu Bocan","8.01","0.38","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Game of Thrones House Targaryen Cardhu Gold Reserve","7.99","0.28","11","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Breton 10yo Rare","7.99","0.54","17","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","7.96","0.47","7","$$","SingleMalt-like","GH","G","Ireland","Malt"
"Auchentoshan Classic","7.94","0.44","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bladnoch 16yo (Signatory)","7.94","0.46","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"White Oak Akashi Single Malt (NAS)","7.93","0.47","7","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Knockando 12yo (All Vintages)","7.90","0.47","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenrothes 10yo","7.89","0.29","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tormore 12yo","7.88","0.39","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant The Major's Reserve","7.87","0.59","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray Classic","7.86","0.49","7","$","SingleMalt-like","GH","G","Scotland","Malt"
"Speyside 12yo","7.86","0.64","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Mack","7.85","0.51","3","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Tomintoul 10yo","7.83","0.52","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kirin 18yo (Fuji Sanroku)","7.82","2.62","5","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Macallan Gold Double Cask","7.82","0.51","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach Heart of Speyside","7.81","0.70","8","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan American Oak","7.76","0.77","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan 10yo","7.75","0.37","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Breton 14yo","7.70","1.04","7","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Loch Lomond NAS","7.70","0.43","14","$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamnavulin 12yo","7.69","0.8","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"McClelland's Highland Single Malt","7.05","0.61","7","$$","SingleMalt-like","GH","G","Scotland","Malt"
"McClelland's Lowland Single Malt","6.91","0.58","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Port Ellen 2nd release 24yo 59.35%","9.51","0.23","7","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 35yo","9.50","0.20","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 9th release 30yo","9.48","0.12","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 14th release 35yo","9.41","0.12","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 10th release 31yo","9.38","0.53","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 15th release 32yo","9.37","0.46","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 11th release 32yo","9.33","0.46","6","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 7th release 28yo","9.33","0.31","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 35yo","9.33","0.33","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen (all OB releases)","9.32","0.31","19","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 30yo","9.30","0.24","14","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 16th release 37yo","9.23","0.36","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 3rd release 24yo","9.22","0.22","9","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 6th release 27yo","9.22","0.16","7","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 4th release 25yo","9.21","0.13","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 30yo","9.21","0.33","14","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 17th release 37yo","9.19","0.7","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 19yo 1998 Pedro Ximénez Finish","9.17","0.34","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 16yo Local Barley","9.12","0.24","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 42yo","9.11","0.47","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.11","0.24","24","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2018 6th Edition","9.08","0.24","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 12th release 32yo","9.07","0.5","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2008 2nd Edition","9.06","0.27","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary","9.05","0.32","22","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 11yo Local Barley","9.05","0.2","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Sigurd","8.99","0.34","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 15yo","8.99","0.25","19","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bruichladdich Port Charlotte 2010 MRC:01","8.98","0.18","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart (all editions)","8.98","0.29","30","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 21yo","8.98","0.21","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 13yo Amontillado Cask Finish","8.97","0.22","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.97","0.32","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Two Brewers Release 07 Peated","8.97","0.33","6","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Bruichladdich Port Charlotte PC10 Tro Na Linntean","8.96","0.39","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1994","8.96","0.40","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Bourbon Single Cask","8.95","0.25","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 25yo","8.95","0.31","21","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte 2007 CC:01","8.94","0.29","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1991","8.94","0.22","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 18yo","8.94","0.21","24","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC11 Eorna Na H-Alba","8.93","0.26","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary","8.93","0.31","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 21yo Authenticus Peated","8.92","0.35","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 8th release 29yo","8.92","0.47","8","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","8.92","0.25","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2012 4th Edition","8.91","0.31","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Distillery Reserve Peaty Cask","8.90","0.32","5","$$$$$+","SingleMalt-like","I","I","Taiwan","Malt"
"Talisker Distiller's Edition (all editions)","8.9","0.23","29","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 25yo","8.89","0.22","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1995","8.89","0.37","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 8yo (Special Release 2018)","8.89","0.34","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC12 Oileanach Furachail","8.88","0.43","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box The Lost Blend","8.88","0.27","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bladnoch 9yo Lightly Peated","8.87","0.64","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Rockpool","8.87","0.28","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated (Second Edition)","8.86","0.36","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilkerran 8yo Cask Strength","8.86","0.23","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Dun Bheagan Islay 2009","8.85","0.21","3","$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 25yo Authenticus Peated","8.84","0.48","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Mizunara Cask Finish","8.84","0.45","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 (Second Edition)","8.84","0.19","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 19yo Marsala Finish","8.84","0.32","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 5 Alioth","8.84","0.27","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Talisker 10yo","8.83","0.22","31","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenlivet Nadurra Peated Cask Finish","8.81","0.25","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo (all editions)","8.8","0.32","6","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peat Week","8.79","0.32","5","$$$$","SingleMalt-like","I","I","USA","Malt"
"Hakushu Single Malt Heavily Peated","8.78","0.32","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Oban 18yo","8.78","0.24","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 10yo Tempest","8.77","0.24","21","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Infinity Third Edition","8.77","0.28","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition)","8.77","0.21","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews pre-2014)","8.77","0.23","22","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Lohin McKinnon Peated","8.77","0.57","3","$$$","SingleMalt-like","I","I","Canada","Malt"
"Nikka Yoichi 12yo","8.76","0.20","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Caol Ila 18yo","8.75","0.50","20","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Game of Thrones House Greyjoy Talisker Select Reserve","8.75","0.39","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt Black","8.75","0.24","17","$$$","SingleMalt-like","I","I","Japan","Malt"
"Springbank 12yo Green","8.75","0.31","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Two Brewers Release 12 Peated","8.75","0.13","3","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Bruichladdich Port Charlotte An Turas Mor","8.74","0.27","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 12yo","8.73","0.19","25","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"GlenDronach Peated Port Wood","8.73","0.33","4","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 2nd release 24yo 54.3%","8.73","0.71","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 15yo Freya","8.72","0.38","15","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 10yo","8.72","0.27","28","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ben Nevis Traditional (NAS)","8.71","0.23","4","$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte Scottish Barley Heavily Peated","8.71","0.26","23","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Tycho’s Star","8.71","0.29","6","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Highland Park 17yo Ice","8.70","0.30","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt White","8.70","0.35","13","$$$","SingleMalt-like","I","I","Japan","Malt"
"Paul John Peated Select Cask","8.7","0.29","11","$$$$","SingleMalt-like","I","I","India","Malt"
"Compass Box Lady Luck","8.69","0.42","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Sanaig","8.69","0.24","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Bold","8.69","0.26","6","$$$","SingleMalt-like","I","I","India","Malt"
"Kilchoman Sauternes Cask Matured","8.67","0.15","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 15yo","8.67","0.28","13","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Two Brewers Peated (all releases)","8.67","0.52","6","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Big Peat (Douglas Laing)","8.66","0.27","21","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Dun Bheagan Islay (all vintage editions)","8.66","0.18","7","$$","SingleMalt-like","I","I","Scotland","Malt"
"Edradour Ballechin 10yo","8.66","0.54","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenglassaugh Torfa","8.66","0.35","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 10yo","8.65","0.28","20","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Benromach 10yo","8.64","0.32","31","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 10yo Curiositas","8.63","0.29","22","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Islay Barley (all vintages)","8.63","0.19","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (all reviews)","8.63","0.21","33","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 7yo Gaja Barolo Finish","8.63","0.52","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 15yo Mariner","8.62","0.49","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mackmyra Svensk Rök","8.62","0.30","5","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Balvenie 14yo Peat Week","8.61","0.34","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Eleuthera","8.61","0.40","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.61","0.21","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo White Sands","8.60","0.32","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Storm","8.6","0.27","24","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo Viking Scars","8.59","0.57","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Cask Strength","8.58","0.64","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Game of Thrones The Night’s Watch Oban Bay Reserve","8.58","0.31","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"GlenDronach Peated","8.58","0.30","17","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mars Kogamatake The Revival 2011","8.58","0.45","5","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bowmore Vault Edition First Release","8.57","0.32","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi NAS","8.57","0.30","15","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Elements of Islay ""Peat""","8.56","0.82","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Coull Point","8.56","0.36","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Edited","8.56","0.41","10","$$$","SingleMalt-like","I","I","India","Malt"
"Bowmore 18yo","8.55","0.41","25","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peated","8.55","0.45","13","$$$$","SingleMalt-like","I","I","USA","Malt"
"BenRiach Peated Quarter Casks","8.54","0.37","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 12yo","8.53","0.30","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Penderyn Celt","8.53","0.39","6","$$$","SingleMalt-like","I","I","Wales","Malt"
"Box (High Coast) Early Days (batches 01/02)","8.51","0.29","3","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Highland Park 10yo","8.51","0.26","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 10yo","8.51","0.35","10","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Spirit of Hven Seven Stars No. 2 Merak","8.51","0.35","4","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Glen Garioch 1997","8.50","0.19","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardmore Traditional Cask","8.49","0.23","26","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo Viking Honour (post-2017)","8.49","0.33","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 14yo","8.49","0.36","30","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenfiddich Vintage Cask","8.48","0.28","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 10yo","8.47","0.42","30","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 3 Phecda","8.47","0.38","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Two Brewers Release 03 Peated","8.47","0.54","7","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Box (High Coast) Dalvve","8.46","0.25","10","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Highland Park 12yo (reviews 2014-2017)","8.46","0.41","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Dun Bheagan Islay 1999","8.42","0.25","3","$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.41","0.35","17","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Teerenpeli Suomi 100 Juhlaviski","8.41","0.71","4","$$$$","SingleMalt-like","I","I","Finland","Malt"
"Glenfiddich Fire & Cane Experimental Series No. 4","8.40","0.45","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo","8.39","0.66","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach Sassicaia","8.37","0.24","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 12yo","8.37","0.29","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Fettercairn Fior","8.37","0.32","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Moray Classic Peated","8.37","0.29","6","$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts Peat Chimney","8.37","0.4","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenglassaugh Octaves Peated","8.36","0.56","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Scotia 12yo","8.35","0.39","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore No.1","8.33","0.41","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
